graph_id,nodes_count,edges_count,selected_footway_length,total_length,highway_types,selected_footway_coords
17,10,9,0.00025130515813215424,0.0013545723053961446,{'footway': 9},"[(118.81155294, 32.06144111), (118.81178334, 32.06154146)]"
18,8,7,0.0001300109795292973,0.0008986394305688983,{'footway': 7},"[(118.83134988, 32.07954942), (118.8314001, 32.0794295)]"
19,8,7,2.8255986977827706e-05,0.000491803096184367,{'footway': 7},"[(118.76597946, 32.08589015), (118.76599944, 32.08587017)]"
20,11,10,0.00010057340055464845,0.0013297490452509057,"{'footway': 8, 'secondary': 2}","[(118.78999182, 32.06041173), (118.78989174, 32.06042168)]"
21,8,7,9.993000801165812e-05,0.001066986401560939,{'footway': 7},"[(118.72948536, 32.06402919), (118.72956528, 32.06408918)]"
22,8,7,3.9960020015194394e-05,0.0003988401645794827,{'footway': 7},"[(118.74546702, 32.05638896), (118.74550698, 32.056389)]"
23,9,8,0.0007059054101647546,0.0031534750614076647,"{'footway': 5, 'tertiary': 3}","[(118.83662046, 32.07805848), (118.83717162, 32.07849953)]"
24,18,17,0.0020640045326470674,0.00840640477814046,"{'secondary': 12, 'footway': 2, 'tertiary': 3}","[(118.77493284, 32.03154585), (118.77681402, 32.03069657)]"
25,7,6,7.22663434804795e-05,0.0004650538602767913,{'footway': 6},"[(118.8634059, 32.05039856), (118.86334578, 32.05035846)]"
26,14,13,0.00010293202854203702,0.0031781125790180838,{'footway': 13},"[(118.73045466, 32.0639585), (118.73036466, 32.06390855)]"
27,8,7,0.00014252916893638817,0.0012101496453219714,{'footway': 7},"[(118.8191385, 32.05600317), (118.81902816, 32.05591295)]"
28,17,16,0.00017002943980608744,0.002094357480481133,{'footway': 16},"[(118.78472952, 31.9371624), (118.78480962, 31.93701242)]"
29,16,15,0.0002733814221902024,0.0030087053497762587,{'footway': 15},"[(118.76825898, 32.07214476), (118.7680086, 32.07225452)]"
30,8,7,0.00027559465180528037,0.001077572565204375,{'footway': 7},"[(118.8292491, 32.05334052), (118.82950974, 32.05325097)]"
31,9,8,0.00045702195844026276,0.002121453199516593,"{'footway': 6, 'tertiary': 2}","[(118.77018894, 32.02969172), (118.77040926, 32.03009213)]"
32,8,7,0.00013620151246918324,0.0006762457903779717,{'footway': 7},"[(118.86359616, 32.05047879), (118.86346602, 32.05043861)]"
33,9,8,3.616111171495182e-05,0.0005116941922575644,{'footway': 8},"[(118.84050306, 32.0416079), (118.8404829, 32.04157788)]"
34,8,7,0.00012046430716281637,0.001173411756623192,{'footway': 7},"[(118.83341826, 32.04621635), (118.83332808, 32.04629622)]"
35,11,10,9.497268923276991e-05,0.001373210713341036,{'footway': 10},"[(118.83864906, 32.04356504), (118.83867912, 32.04365513)]"
36,8,7,0.00014804852211074075,0.0011347000033633684,{'footway': 7},"[(118.81739826, 32.02456347), (118.81752858, 32.02463372)]"
37,8,7,0.00012203946902296335,0.0009643754344367971,{'footway': 7},"[(118.82291634, 32.05384938), (118.82301642, 32.05377954)]"
38,18,20,0.0006097941089361813,0.007758433642193585,{'footway': 20},"[(118.72676736, 32.06126007), (118.72615788, 32.0612405)]"
39,8,7,2.8255986982852004e-05,0.00030733526747674333,{'footway': 7},"[(118.76791806, 32.07309422), (118.76793804, 32.07307424)]"
40,12,11,9.058262305344042e-05,0.0024931871897210297,{'footway': 11},"[(118.70467182, 32.02166768), (118.70466192, 32.02175772)]"
41,8,7,3.996010134639968e-05,0.0005533891117909496,{'footway': 7},"[(118.86008994, 32.05813581), (118.86004998, 32.05813572)]"
42,8,7,0.00010784451214433243,0.0009849356100928445,{'footway': 7},"[(118.85852232, 32.09773127), (118.8586224, 32.09777145)]"
43,12,11,0.00010018202883453991,0.002042757616030018,{'footway': 11},"[(118.840653, 32.04468887), (118.8405729, 32.0446287)]"
44,13,12,4.0140031136849194e-05,0.0019123261029969992,{'footway': 12},"[(118.85606136, 32.06229953), (118.85602122, 32.06229948)]"
45,8,7,4.2447667780605825e-05,0.00027991591450846493,{'footway': 7},"[(118.7457948, 32.06036817), (118.74576474, 32.06039814)]"
46,8,7,0.0008292370882288148,0.001765546554699038,{'footway': 7},"[(118.85104188, 32.05863999), (118.8517833, 32.05901138)]"
47,11,10,0.00029536825354562195,0.00203723053551823,"{'footway': 4, 'tertiary': 6}","[(118.77191064, 32.07507719), (118.7717706, 32.07481713)]"
